



CapteT149515
CapteT149543
CapteT149569
CapteT149571
CapteT149583
CapteT149599
CapteT1495	K09660
CapteT187482	K00670	
CapteT187483
CapteT187484
CapteT187485
CapteT187486
CapteT187487
CapteT187489
CapteT206463	K20123	
CapteT21356	
CapteT213562
CapteT213563
CapteT213564
CapteT213568
CapteT213569
CapteT213695
CapteT213697
CapteT213699
CapteT21369	K21798
K01596
K01783
K04233	
K06944
K07762
K08838	
K10434
K11128
K14389
K17286
K17352
K19765	
OG0000121							
OG0000121							
OG0000121	capitella			\tCapteT101426	K07190	
OG0003374	owenia	GO:0005856^cellular_component^cytoskeleton`GO:0016020^cellular_component^membrane`GO:0043005^cellular_component^neuron projection`GO:0048471^cellular_component^perinuclear region of cytoplasm`GO:0014069^cellular_component^postsynaptic density`GO:0051015^molecular_function^actin filament binding`GO:0071933^molecular_function^Arp2/3 complex binding`GO:0046872^molecular_function^metal ion binding`GO:0019904^molecular_function^protein domain specific binding`GO:0036294^biological_process^cellular response to decreased oxygen levels`GO:0042149^biological_process^cellular response to glucose starvation`GO:0097062^biological_process^dendritic spine maintenance`GO:0097061^biological_process^dendritic spine organization`GO:0021782^biological_process^glial cell development`GO:0060292^biological_process^long-term synaptic depression`GO:0034316^biological_process^negative regulation of Arp2/3 complex-mediated actin nucleation`GO:0002092^biological_process^positive regulation of receptor internalization	GO:0005856^cellular_component^cytoskeleton`GO:0016020^cellular_component^membrane`GO:0043005^cellular_component^neuron projection`GO:0048471^cellular_component^perinuclear region of cytoplasm`GO:0014069^cellular_component^postsynaptic density`GO:0051015^molecular_function^actin filament binding`GO:0071933^molecular_function^Arp2/3 complex binding`GO:0046872^molecular_function^metal ion binding`GO:0019904^molecular_function^protein domain specific binding`GO:0036294^biological_process^cellular response to decreased oxygen levels`GO:0042149^biological_process^cellular response to glucose starvation`GO:0097062^biological_process^dendritic spine maintenance`GO:0097061^biological_process^dendritic spine organization`GO:0021782^biological_process^glial cell development`GO:0060292^biological_process^long-term synaptic depression`GO:0034316^biological_process^negative regulation of Arp2/3 complex-mediated actin nucleation`GO:0002092^biological_process^positive regulation of receptor internalization	GO:0005515^molecular_function^protein binding`GO:0019904^molecular_function^protein domain specific binding	OFUSG10218.1	PRKCA-BINDING PROTEIN	
OG0003374	paraescarpia	
OG0003374	paraescarpia	
OG0003374	riftia	GO:0005856^cellular_component^cytoskeleton`GO:0016020^cellular_component^membrane`GO:0043005^cellular_component^neuron projection`GO:0048471^cellular_component^perinuclear region of cytoplasm`GO:0014069^cellular_component^postsynaptic density`GO:0051015^molecular_function^actin filament binding`GO:0071933^molecular_function^Arp2/3 complex binding`GO:0046872^molecular_function^metal ion binding`GO:0019904^molecular_function^protein domain specific binding`GO:0036294^biological_process^cellular response to decreased oxygen levels`GO:0042149^biological_process^cellular response to glucose starvation`GO:0097062^biological_process^dendritic spine maintenance`GO:0097061^biological_process^dendritic spine organization`GO:0021782^biological_process^glial cell development`GO:0060292^biological_process^long-term synaptic depression`GO:0034316^biological_process^negative regulation of Arp2/3 complex-mediated actin nucleation`GO:0002092^biological_process^positive regulation of receptor internalization	GO:0005856^cellular_component^cytoskeleton`GO:0016020^cellular_component^membrane`GO:0043005^cellular_component^neuron projection`GO:0048471^cellular_component^perinuclear region of cytoplasm`GO:0014069^cellular_component^postsynaptic density`GO:0051015^molecular_function^actin filament binding`GO:0071933^molecular_function^Arp2/3 complex binding`GO:0046872^molecular_function^metal ion binding`GO:0019904^molecular_function^protein domain specific binding`GO:0036294^biological_process^cellular response to decreased oxygen levels`GO:0042149^biological_process^cellular response to glucose starvation`GO:0097062^biological_process^dendritic spine maintenance`GO:0097061^biological_process^dendritic spine organization`GO:0021782^biological_process^glial cell development`GO:0060292^biological_process^long-term synaptic depression`GO:0034316^biological_process^negative regulation of Arp2/3 complex-mediated actin nucleation`GO:0002092^biological_process^positive regulation of receptor internalization	GO:0005515^molecular_function^protein binding`GO:0019904^molecular_function^protein domain specific binding`GO:0005737^cellular_component^cytoplasm	RPACG00000024960.1	PRKCA-BINDING PROTEIN	K24062
OG0003478	capitella			\tCapteT160689		
OG0003478	capitella			\tCapteT87031		
OG0003478	lamellibrachia	GO:0008083^molecular_function^growth factor activity`GO:0051321^biological_process^meiotic cell cycle`GO:0030308^biological_process^negative regulation of cell growth	GO:0008083^molecular_function^growth factor activity`GO:0051321^biological_process^meiotic cell cycle`GO:0030308^biological_process^negative regulation of cell growth	GO:0016491^molecular_function^oxidoreductase activity`GO:0055114^biological_process^obsolete oxidation-reduction process	FUN_040466-T1	PROTEIN CBG05349	
OG0003478	osedax	GO:0008083^molecular_function^growth factor activity`GO:0030154^biological_process^cell differentiation`GO:0030308^biological_process^negative regulation of cell growth`GO:0043065^biological_process^positive regulation of apoptotic process`GO:0042981^biological_process^regulation of apoptotic process`GO:0030334^biological_process^regulation of cell migration`GO:0042127^biological_process^regulation of cell population proliferation	GO:0008083^molecular_function^growth factor activity`GO:0030154^biological_process^cell differentiation`GO:0030308^biological_process^negative regulation of cell growth`GO:0043065^biological_process^positive regulation of apoptotic process`GO:0042981^biological_process^regulation of apoptotic process`GO:0030334^biological_process^regulation of cell migration`GO:0042127^biological_process^regulation of cell population proliferation	.	OFRAG00000005720.1	PROTEIN CBG05349	
OG0003478	owenia	GO:0008083^molecular_function^growth factor activity`GO:0051321^biological_process^meiotic cell cycle`GO:0030308^biological_process^negative regulation of cell growth	GO:0008083^molecular_function^growth factor activity`GO:0051321^biological_process^meiotic cell cycle`GO:0030308^biological_process^negative regulation of cell growth	GO:0016491^molecular_function^oxidoreductase activity`GO:0055114^biological_process^oxidation-reduction process	OFUSG20593.1	PROTEIN CBG05349	K17879
OG0003478	paraescarpia	
OG0003478	riftia	GO:0008083^molecular_function^growth factor activity`GO:0051321^biological_process^meiotic cell cycle`GO:0030308^biological_process^negative regulation of cell growth	GO:0008083^molecular_function^growth factor activity`GO:0051321^biological_process^meiotic cell cycle`GO:0030308^biological_process^negative regulation of cell growth	GO:0016491^molecular_function^oxidoreductase activity`GO:0055114^biological_process^oxidation-reduction process	RPACG00000034039.1	PROTEIN CBG05349	
OG0003564	capitella			\tCapteT205918	K03065	
OG0003564	capitella			\tCapteT225374	K03065	
OG0003564	lamellibrachia	GO:0005829^cellular_component^cytosol`GO:0005576^cellular_component^extracellular region`GO:1904813^cellular_component^ficolin-1-rich granule lumen`GO:0016020^cellular_component^membrane`GO:0005654^cellular_component^nucleoplasm`GO:0005634^cellular_component^nucleus`GO:0000932^cellular_component^P-body`GO:0022624^cellular_component^proteasome accessory complex`GO:0000502^cellular_component^proteasome complex`GO:0008540^cellular_component^proteasome regulatory particle base subcomplex`GO:0034774^cellular_component^secretory granule lumen`GO:0005524^molecular_function^ATP binding`GO:0016887^molecular_function^ATPase activity`GO:0042802^molecular_function^identical protein binding`GO:0031145^biological_process^anaphase-promoting complex-dependent catabolic process`GO:0002479^biological_process^antigen processing and presentation of exogenous peptide antigen via MHC class I TAP-dependent`GO:0001824^biological_process^blastocyst development`GO:0038095^biological_process^Fc-epsilon receptor signaling pathway`GO:0070498^biological_process^interleukin-1-mediated signaling pathway`GO:0000165^biological_process^MAPK cascade`GO:0043921^biological_process^modulation by host of viral transcription`GO:0090090^biological_process^negative regulation of canonical Wnt signaling pathway`GO:0010972^biological_process^negative regulation of G2/M transition of mitotic cell cycle`GO:0043312^biological_process^neutrophil degranulation`GO:0038061^biological_process^NIK/NF-kappaB signaling`GO:0090263^biological_process^positive regulation of canonical Wnt signaling pathway`GO:0045899^biological_process^positive regulation of RNA polymerase II transcription preinitiation complex assembly`GO:0045944^biological_process^positive regulation of transcription by RNA polymerase II`GO:0043687^biological_process^post-translational protein modification`GO:0043161^biological_process^proteasome-mediated ubiquitin-dependent protein catabolic process`GO:0016579^biological_process^protein deubiquitination`GO:0000209^biological_process^protein polyubiquitination`GO:0006521^biological_process^regulation of cellular amino acid metabolic process`GO:1902036^biological_process^regulation of hematopoietic stem cell differentiation`GO:1901990^biological_process^regulation of mitotic cell cycle phase transition`GO:0043488^biological_process^regulation of mRNA stability`GO:0061418^biological_process^regulation of transcription from RNA polymerase II promoter in response to hypoxia`GO:0031146^biological_process^SCF-dependent proteasomal ubiquitin-dependent protein catabolic process`GO:0002223^biological_process^stimulatory C-type lectin receptor signaling pathway`GO:0050852^biological_process^T cell receptor signaling pathway`GO:0055085^biological_process^transmembrane transport`GO:0033209^biological_process^tumor necrosis factor-mediated signaling pathway`GO:0016032^biological_process^viral process`GO:0060071^biological_process^Wnt signaling pathway planar cell polarity pathway	GO:0005829^cellular_component^cytosol`GO:0005576^cellular_component^extracellular region`GO:1904813^cellular_component^ficolin-1-rich granule lumen`GO:0016020^cellular_component^membrane`GO:0005654^cellular_component^nucleoplasm`GO:0005634^cellular_component^nucleus`GO:0000932^cellular_component^P-body`GO:0022624^cellular_component^proteasome accessory complex`GO:0000502^cellular_component^proteasome complex`GO:0008540^cellular_component^proteasome regulatory particle base subcomplex`GO:0034774^cellular_component^secretory granule lumen`GO:0005524^molecular_function^ATP binding`GO:0016887^molecular_function^ATPase activity`GO:0042802^molecular_function^identical protein binding`GO:0031145^biological_process^anaphase-promoting complex-dependent catabolic process`GO:0002479^biological_process^antigen processing and presentation of exogenous peptide antigen via MHC class I TAP-dependent`GO:0001824^biological_process^blastocyst development`GO:0038095^biological_process^Fc-epsilon receptor signaling pathway`GO:0070498^biological_process^interleukin-1-mediated signaling pathway`GO:0000165^biological_process^MAPK cascade`GO:0043921^biological_process^modulation by host of viral transcription`GO:0090090^biological_process^negative regulation of canonical Wnt signaling pathway`GO:0010972^biological_process^negative regulation of G2/M transition of mitotic cell cycle`GO:0043312^biological_process^neutrophil degranulation`GO:0038061^biological_process^NIK/NF-kappaB signaling`GO:0090263^biological_process^positive regulation of canonical Wnt signaling pathway`GO:0045899^biological_process^positive regulation of RNA polymerase II transcription preinitiation complex assembly`GO:0045944^biological_process^positive regulation of transcription by RNA polymerase II`GO:0043687^biological_process^post-translational protein modification`GO:0043161^biological_process^proteasome-mediated ubiquitin-dependent protein catabolic process`GO:0016579^biological_process^protein deubiquitination`GO:0000209^biological_process^protein polyubiquitination`GO:0006521^biological_process^regulation of cellular amino acid metabolic process`GO:1902036^biological_process^regulation of hematopoietic stem cell differentiation`GO:1901990^biological_process^regulation of mitotic cell cycle phase transition`GO:0043488^biological_process^regulation of mRNA stability`GO:0061418^biological_process^regulation of transcription from RNA polymerase II promoter in response to hypoxia`GO:0031146^biological_process^SCF-dependent proteasomal ubiquitin-dependent protein catabolic process`GO:0002223^biological_process^stimulatory C-type lectin receptor signaling pathway`GO:0050852^biological_process^T cell receptor signaling pathway`GO:0055085^biological_process^transmembrane transport`GO:0033209^biological_process^tumor necrosis factor-mediated signaling pathway`GO:0016032^biological_process^viral process`GO:0060071^biological_process^Wnt signaling pathway planar cell polarity pathway	GO:0009378^molecular_function^four-way junction helicase activity`GO:0006281^biological_process^DNA repair`GO:0006310^biological_process^DNA recombination`GO:0005524^molecular_function^ATP binding`GO:0016887^molecular_function^ATPase activity	FUN_040771-T1	26S PROTEASOME REGULATORY SUBUNIT 6A	K03065
OG0003564	osedax	GO:0005737^cellular_component^cytoplasm`GO:0005634^cellular_component^nucleus`GO:0000932^cellular_component^P-body`GO:0048471^cellular_component^perinuclear region of cytoplasm`GO:0022624^cellular_component^proteasome accessory complex`GO:0000502^cellular_component^proteasome complex`GO:0008540^cellular_component^proteasome regulatory particle base subcomplex`GO:0005524^molecular_function^ATP binding`GO:0016887^molecular_function^ATPase activity`GO:0042802^molecular_function^identical protein binding`GO:0001824^biological_process^blastocyst development`GO:0043921^biological_process^modulation by host of viral transcription`GO:0045899^biological_process^positive regulation of RNA polymerase II transcription preinitiation complex assembly`GO:0045944^biological_process^positive regulation of transcription by RNA polymerase II`GO:0030163^biological_process^protein catabolic process	GO:0005737^cellular_component^cytoplasm`GO:0005634^cellular_component^nucleus`GO:0000932^cellular_component^P-body`GO:0048471^cellular_component^perinuclear region of cytoplasm`GO:0022624^cellular_component^proteasome accessory complex`GO:0000502^cellular_component^proteasome complex`GO:0008540^cellular_component^proteasome regulatory particle base subcomplex`GO:0005524^molecular_function^ATP binding`GO:0016887^molecular_function^ATPase activity`GO:0042802^molecular_function^identical protein binding`GO:0001824^biological_process^blastocyst development`GO:0043921^biological_process^modulation by host of viral transcription`GO:0045899^biological_process^positive regulation of RNA polymerase II transcription preinitiation complex assembly`GO:0045944^biological_process^positive regulation of transcription by RNA polymerase II`GO:0030163^biological_process^protein catabolic process	GO:0005524^molecular_function^ATP binding`GO:0016887^molecular_function^ATPase activity`GO:0009378^molecular_function^four-way junction helicase activity`GO:0006281^biological_process^DNA repair`GO:0006310^biological_process^DNA recombination	OFRAG00000000206.1	26S PROTEASOME REGULATORY SUBUNIT 6A	K03065
OG0003564	owenia	"GO:0005737^cellular_component^cytoplasm`GO:0005634^cellular_component^nucleus`GO:0000932^cellular_component^P-body`GO:0048471^cellular_component^perinuclear region of cytoplasm`GO:0022624^cellular_component^proteasome accessory complex`GO:0000502^cellular_component^proteasome complex`GO:0008540^cellular_component^proteasome regulatory particle base subcomplex`GO:0005524^molecular_function^ATP binding`GO:0016787^molecular_function^hydrolase activity`GO:0042802^molecular_function^identical protein binding`GO:0001824^biological_process^blastocyst development`GO:0043921^biological_process^modulation by host of viral transcription`GO:0045899^biological_process^positive regulation of RNA polymerase II transcription preinitiation complex assembly`GO:0045944^biological_process^positive regulation of transcription by RNA polymerase II`GO:0030163^biological_process^protein catabolic process"	"GO:0005737^cellular_component^cytoplasm`GO:0005634^cellular_component^nucleus`GO:0000932^cellular_component^P-body`GO:0048471^cellular_component^perinuclear region of cytoplasm`GO:0022624^cellular_component^proteasome accessory complex`GO:0000502^cellular_component^proteasome complex`GO:0008540^cellular_component^proteasome regulatory particle base subcomplex`GO:0005524^molecular_function^ATP binding`GO:0016787^molecular_function^hydrolase activity`GO:0042802^molecular_function^identical protein binding`GO:0001824^biological_process^blastocyst development`GO:0043921^biological_process^modulation by host of viral transcription`GO:0045899^biological_process^positive regulation of RNA polymerase II transcription preinitiation complex assembly`GO:0045944^biological_process^positive regulation of transcription by RNA polymerase II`GO:0030163^biological_process^protein catabolic process"	GO:0009378^molecular_function^four-way junction helicase activity`GO:0006281^biological_process^DNA repair`GO:0006310^biological_process^DNA recombination`GO:0005524^molecular_function^ATP binding`GO:0016887^molecular_function^ATPase activity	OFUSG09669.1	26S PROTEASOME REGULATORY SUBUNIT 6A	
OG0003564	paraescarpia	
OG0003564	riftia	GO:0005737^cellular_component^cytoplasm`GO:0005634^cellular_component^nucleus`GO:0022624^cellular_component^proteasome accessory complex`GO:0005524^molecular_function^ATP binding`GO:0016887^molecular_function^ATPase activity`GO:0030163^biological_process^protein catabolic process	GO:0005737^cellular_component^cytoplasm`GO:0005634^cellular_component^nucleus`GO:0022624^cellular_component^proteasome accessory complex`GO:0005524^molecular_function^ATP binding`GO:0016887^molecular_function^ATPase activity`GO:0030163^biological_process^protein catabolic process	GO:0009378^molecular_function^four-way junction helicase activity`GO:0006281^biological_process^DNA repair`GO:0006310^biological_process^DNA recombination`GO:0005524^molecular_function^ATP binding`GO:0016887^molecular_function^ATPase activity	RPACG00000035379.1	26S PROTEASOME REGULATORY SUBUNIT 6A	K03065
OG0003672	capitella			\tCapteT212886	K17902	
OG0003672	capitella			\tCapteT212887	K17902	
OG0003672	lamellibrachia	GO:0030659^cellular_component^cytoplasmic vesicle membrane`GO:0005829^cellular_component^cytosol`GO:0031982^cellular_component^vesicle`GO:0005096^molecular_function^GTPase activator activity`GO:0090630^biological_process^activation of GTPase activity`GO:0032869^biological_process^cellular response to insulin stimulus`GO:0006886^biological_process^intracellular protein transport`GO:0031339^biological_process^negative regulation of vesicle fusion`GO:0016192^biological_process^vesicle-mediated transport	GO:0030659^cellular_component^cytoplasmic vesicle membrane`GO:0005829^cellular_component^cytosol`GO:0031982^cellular_component^vesicle`GO:0005096^molecular_function^GTPase activator activity`GO:0090630^biological_process^activation of GTPase activity`GO:0032869^biological_process^cellular response to insulin stimulus`GO:0006886^biological_process^intracellular protein transport`GO:0031339^biological_process^negative regulation of vesicle fusion`GO:0016192^biological_process^vesicle-mediated transport	GO:0005515^molecular_function^protein binding	FUN_035932-T1	TBC1 DOMAIN FAMILY MEMBER 1	K17902
OG0003672	osedax	GO:0005829^cellular_component^cytosol`GO:0031982^cellular_component^vesicle`GO:0005096^molecular_function^GTPase activator activity`GO:0090630^biological_process^activation of GTPase activity`GO:0032869^biological_process^cellular response to insulin stimulus`GO:0006886^biological_process^intracellular protein transport`GO:0031339^biological_process^negative regulation of vesicle fusion`GO:0016192^biological_process^vesicle-mediated transport	GO:0005829^cellular_component^cytosol`GO:0031982^cellular_component^vesicle`GO:0005096^molecular_function^GTPase activator activity`GO:0090630^biological_process^activation of GTPase activity`GO:0032869^biological_process^cellular response to insulin stimulus`GO:0006886^biological_process^intracellular protein transport`GO:0031339^biological_process^negative regulation of vesicle fusion`GO:0016192^biological_process^vesicle-mediated transport	GO:0005515^molecular_function^protein binding	OFRAG00000015783.1	TBC1 DOMAIN FAMILY MEMBER 4	K17902
OG0003672	owenia	GO:0005829^cellular_component^cytosol`GO:0005634^cellular_component^nucleus`GO:0005096^molecular_function^GTPase activator activity`GO:0017137^molecular_function^Rab GTPase binding`GO:0090630^biological_process^activation of GTPase activity`GO:0006886^biological_process^intracellular protein transport`GO:0061024^biological_process^membrane organization`GO:0032880^biological_process^regulation of protein localization	GO:0005829^cellular_component^cytosol`GO:0005634^cellular_component^nucleus`GO:0005096^molecular_function^GTPase activator activity`GO:0017137^molecular_function^Rab GTPase binding`GO:0090630^biological_process^activation of GTPase activity`GO:0006886^biological_process^intracellular protein transport`GO:0061024^biological_process^membrane organization`GO:0032880^biological_process^regulation of protein localization	GO:0005515^molecular_function^protein binding	OFUSG03101.1	TBC1 DOMAIN FAMILY MEMBER 1	
OG0003672	paraescarpia	
OG0003672	riftia	GO:0030659^cellular_component^cytoplasmic vesicle membrane`GO:0005829^cellular_component^cytosol`GO:0031982^cellular_component^vesicle`GO:0005096^molecular_function^GTPase activator activity`GO:0090630^biological_process^activation of GTPase activity`GO:0032869^biological_process^cellular response to insulin stimulus`GO:0006886^biological_process^intracellular protein transport`GO:0031339^biological_process^negative regulation of vesicle fusion`GO:0016192^biological_process^vesicle-mediated transport	GO:0030659^cellular_component^cytoplasmic vesicle membrane`GO:0005829^cellular_component^cytosol`GO:0031982^cellular_component^vesicle`GO:0005096^molecular_function^GTPase activator activity`GO:0090630^biological_process^activation of GTPase activity`GO:0032869^biological_process^cellular response to insulin stimulus`GO:0006886^biological_process^intracellular protein transport`GO:0031339^biological_process^negative regulation of vesicle fusion`GO:0016192^biological_process^vesicle-mediated transport	GO:0005515^molecular_function^protein binding	RPACG00000002340.1	TBC1 DOMAIN FAMILY MEMBER 1	K17902
OG0003674							
OG0003674							
OG0003674							
OG0003674	capitella			\tCapteT217665	K10382	
OG0003674	capitella			\tCapteT51380	K06115	
OG0003674	lamellibrachia	GO:0015629^cellular_component^actin cytoskeleton`GO:0005938^cellular_component^cell cortex`GO:0005737^cellular_component^cytoplasm`GO:0005794^cellular_component^Golgi apparatus`GO:0016020^cellular_component^membrane`GO:0005874^cellular_component^microtubule`GO:0015630^cellular_component^microtubule cytoskeleton`GO:0014069^cellular_component^postsynaptic density`GO:0032587^cellular_component^ruffle membrane`GO:0003779^molecular_function^actin binding`GO:0051015^molecular_function^actin filament binding`GO:0016887^molecular_function^ATPase activity`GO:0005509^molecular_function^calcium ion binding`GO:0008017^molecular_function^microtubule binding`GO:0051011^molecular_function^microtubule minus-end binding`GO:0005198^molecular_function^structural molecule activity`GO:0007163^biological_process^establishment or maintenance of cell polarity`GO:0043001^biological_process^Golgi to plasma membrane protein transport`GO:0045104^biological_process^intermediate filament cytoskeleton organization`GO:0001707^biological_process^mesoderm formation`GO:0030177^biological_process^positive regulation of Wnt signaling pathway`GO:0006620^biological_process^posttranslational protein targeting to endoplasmic reticulum membrane`GO:0008104^biological_process^protein localization`GO:0030334^biological_process^regulation of cell migration`GO:0010632^biological_process^regulation of epithelial cell migration`GO:0051893^biological_process^regulation of focal adhesion assembly`GO:0032886^biological_process^regulation of microtubule-based process`GO:0150011^biological_process^regulation of neuron projection arborization`GO:0016055^biological_process^Wnt signaling pathway`GO:0042060^biological_process^wound healing	GO:0015629^cellular_component^actin cytoskeleton`GO:0005938^cellular_component^cell cortex`GO:0005737^cellular_component^cytoplasm`GO:0005794^cellular_component^Golgi apparatus`GO:0016020^cellular_component^membrane`GO:0005874^cellular_component^microtubule`GO:0015630^cellular_component^microtubule cytoskeleton`GO:0014069^cellular_component^postsynaptic density`GO:0032587^cellular_component^ruffle membrane`GO:0003779^molecular_function^actin binding`GO:0051015^molecular_function^actin filament binding`GO:0016887^molecular_function^ATPase activity`GO:0005509^molecular_function^calcium ion binding`GO:0008017^molecular_function^microtubule binding`GO:0051011^molecular_function^microtubule minus-end binding`GO:0005198^molecular_function^structural molecule activity`GO:0007163^biological_process^establishment or maintenance of cell polarity`GO:0043001^biological_process^Golgi to plasma membrane protein transport`GO:0045104^biological_process^intermediate filament cytoskeleton organization`GO:0001707^biological_process^mesoderm formation`GO:0030177^biological_process^positive regulation of Wnt signaling pathway`GO:0006620^biological_process^posttranslational protein targeting to endoplasmic reticulum membrane`GO:0008104^biological_process^protein localization`GO:0030334^biological_process^regulation of cell migration`GO:0010632^biological_process^regulation of epithelial cell migration`GO:0051893^biological_process^regulation of focal adhesion assembly`GO:0032886^biological_process^regulation of microtubule-based process`GO:0150011^biological_process^regulation of neuron projection arborization`GO:0016055^biological_process^Wnt signaling pathway`GO:0042060^biological_process^wound healing	GO:0005515^molecular_function^protein binding	FUN_015799-T1	SI:CH211-165E15.1	K10382
OG0003674	riftia	GO:0005737^cellular_component^cytoplasm`GO:0043197^cellular_component^dendritic spine`GO:0044327^cellular_component^dendritic spine head`GO:0005794^cellular_component^Golgi apparatus`GO:0016021^cellular_component^integral component of membrane`GO:0034993^cellular_component^meiotic nuclear membrane microtubule tethering complex`GO:0030496^cellular_component^midbody`GO:0005635^cellular_component^nuclear envelope`GO:0031965^cellular_component^nuclear membrane`GO:0005640^cellular_component^nuclear outer membrane`GO:0005730^cellular_component^nucleolus`GO:0005654^cellular_component^nucleoplasm`GO:0000932^cellular_component^P-body`GO:0048471^cellular_component^perinuclear region of cytoplasm`GO:0045211^cellular_component^postsynaptic membrane`GO:0030017^cellular_component^sarcomere`GO:0005819^cellular_component^spindle`GO:0003779^molecular_function^actin binding`GO:0051015^molecular_function^actin filament binding`GO:0140444^molecular_function^cytoskeleton-nuclear membrane anchor activity`GO:0019899^molecular_function^enzyme binding`GO:0042802^molecular_function^identical protein binding`GO:0005521^molecular_function^lamin binding`GO:0042803^molecular_function^protein homodimerization activity`GO:0005102^molecular_function^signaling receptor binding`GO:0051642^biological_process^centrosome localization`GO:0007010^biological_process^cytoskeleton organization`GO:0007030^biological_process^Golgi organization`GO:0042692^biological_process^muscle cell differentiation`GO:2001054^biological_process^negative regulation of mesenchymal cell apoptotic process`GO:0061886^biological_process^negative regulation of mini excitatory postsynaptic potential`GO:0090292^biological_process^nuclear matrix anchoring at nuclear membrane`GO:0007097^biological_process^nuclear migration`GO:0002053^biological_process^positive regulation of mesenchymal cell proliferation`GO:0048260^biological_process^positive regulation of receptor-mediated endocytosis`GO:1902017^biological_process^regulation of cilium assembly`GO:0048814^biological_process^regulation of dendrite morphogenesis`GO:1903353^biological_process^regulation of nucleus organization`GO:0099149^biological_process^regulation of postsynaptic neurotransmitter receptor internalization`GO:0007283^biological_process^spermatogenesis	GO:0005737^cellular_component^cytoplasm`GO:0043197^cellular_component^dendritic spine`GO:0044327^cellular_component^dendritic spine head`GO:0005794^cellular_component^Golgi apparatus`GO:0016021^cellular_component^integral component of membrane`GO:0034993^cellular_component^meiotic nuclear membrane microtubule tethering complex`GO:0030496^cellular_component^midbody`GO:0005635^cellular_component^nuclear envelope`GO:0031965^cellular_component^nuclear membrane`GO:0005640^cellular_component^nuclear outer membrane`GO:0005730^cellular_component^nucleolus`GO:0005654^cellular_component^nucleoplasm`GO:0000932^cellular_component^P-body`GO:0048471^cellular_component^perinuclear region of cytoplasm`GO:0045211^cellular_component^postsynaptic membrane`GO:0030017^cellular_component^sarcomere`GO:0005819^cellular_component^spindle`GO:0003779^molecular_function^actin binding`GO:0051015^molecular_function^actin filament binding`GO:0140444^molecular_function^cytoskeleton-nuclear membrane anchor activity`GO:0019899^molecular_function^enzyme binding`GO:0042802^molecular_function^identical protein binding`GO:0005521^molecular_function^lamin binding`GO:0042803^molecular_function^protein homodimerization activity`GO:0005102^molecular_function^signaling receptor binding`GO:0051642^biological_process^centrosome localization`GO:0007010^biological_process^cytoskeleton organization`GO:0007030^biological_process^Golgi organization`GO:0042692^biological_process^muscle cell differentiation`GO:2001054^biological_process^negative regulation of mesenchymal cell apoptotic process`GO:0061886^biological_process^negative regulation of mini excitatory postsynaptic potential`GO:0090292^biological_process^nuclear matrix anchoring at nuclear membrane`GO:0007097^biological_process^nuclear migration`GO:0002053^biological_process^positive regulation of mesenchymal cell proliferation`GO:0048260^biological_process^positive regulation of receptor-mediated endocytosis`GO:1902017^biological_process^regulation of cilium assembly`GO:0048814^biological_process^regulation of dendrite morphogenesis`GO:1903353^biological_process^regulation of nucleus organization`GO:0099149^biological_process^regulation of postsynaptic neurotransmitter receptor internalization`GO:0007283^biological_process^spermatogenesis	GO:0005515^molecular_function^protein binding	RPACG00000012802.1	CALMIN	K19326
